m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,32,128,12,1,6,1,3,1,7662,511,100797,1022,100797,511,195,1,1533,511,3,1,102549
64,32,128,12,1,6,1,3,1,7662,511,100797,1022,100797,511,195,1,1533,511,3,1,102549
64,32,128,12,1,6,1,3,1,7662,511,84445,1022,84445,511,163,1,1533,511,3,1,86165
64,32,128,12,1,6,1,3,1,7662,511,133501,1022,133501,511,259,1,1533,511,3,1,135317
64,32,128,12,1,6,1,3,1,7662,511,165183,1022,165183,511,321,1,1533,511,3,1,167061
64,32,128,12,1,6,1,3,1,7662,511,101308,1022,101308,511,196,1,1533,511,3,1,103061
64,32,128,12,1,6,1,3,1,7662,511,69626,1022,69626,511,134,1,1533,511,3,1,71317
64,32,128,12,1,6,1,3,1,7662,511,69626,1022,69626,511,134,1,1533,511,3,1,71317
64,32,128,12,1,6,1,3,1,7662,511,53274,1022,53274,511,102,1,1533,511,3,1,54933
64,32,128,12,1,6,1,3,1,7662,511,102330,1022,102330,511,198,1,1533,511,3,1,104085
64,32,128,12,1,6,1,3,1,7662,511,101308,1022,101308,511,196,1,1533,511,3,1,103061
64,32,128,12,1,6,1,3,1,7662,511,68604,1022,68604,511,132,1,1533,511,3,1,70293
64,32,128,12,1,6,1,3,1,7662,511,53274,1022,53274,511,102,1,1533,511,3,1,54933
64,32,128,12,1,6,1,3,1,7662,511,53274,1022,53274,511,102,1,1533,511,3,1,54933
64,32,128,12,1,6,1,3,1,7662,511,36922,1022,36922,511,70,1,1533,511,3,1,38549
64,32,128,12,1,6,1,3,1,7662,511,85978,1022,85978,511,166,1,1533,511,3,1,87701
64,32,128,12,1,6,1,3,1,7662,511,68604,1022,68604,511,132,1,1533,511,3,1,70293
64,32,128,12,1,6,1,3,1,7662,511,52252,1022,52252,511,100,1,1533,511,3,1,53909
64,32,128,12,1,6,1,3,1,7662,511,45098,1022,45098,511,86,1,1533,511,3,1,46741
64,32,128,12,1,6,1,3,1,7662,511,45098,1022,45098,511,86,1,1533,511,3,1,46741
64,32,128,12,1,6,1,3,1,7662,511,28746,1022,28746,511,54,1,1533,511,3,1,30357
64,32,128,12,1,6,1,3,1,7662,511,77802,1022,77802,511,150,1,1533,511,3,1,79509
64,32,128,12,1,6,1,3,1,7662,511,52252,1022,52252,511,100,1,1533,511,3,1,53909
64,32,128,12,1,6,1,3,1,7662,511,44076,1022,44076,511,84,1,1533,511,3,1,45717
64,32,128,12,1,6,1,3,1,7662,511,41010,1022,41010,511,78,1,1533,511,3,1,42645
64,32,128,12,1,6,1,3,1,7662,511,41010,1022,41010,511,78,1,1533,511,3,1,42645
64,32,128,12,1,6,1,3,1,7662,511,24658,1022,24658,511,46,1,1533,511,3,1,26261
64,32,128,12,1,6,1,3,1,7662,511,73714,1022,73714,511,142,1,1533,511,3,1,75413
64,32,128,12,1,6,1,3,1,7662,511,44076,1022,44076,511,84,1,1533,511,3,1,45717
64,32,128,12,1,6,1,3,1,7662,511,39988,1022,39988,511,76,1,1533,511,3,1,41621
