m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,32,8192,726,1,363,1,3,1,383298495,524287,330431884,1048574,383298495,524287,628,1,1572861,524287,3,1,384873079
64,32,8192,726,1,363,1,3,1,383298495,524287,313654700,1048574,383298495,524287,596,1,1572861,524287,3,1,384873047
64,32,8192,726,1,363,1,3,1,383298495,524287,363986252,1048574,383298495,524287,692,1,1572861,524287,3,1,384873143
64,32,8192,726,1,363,1,3,1,383298495,524287,463600782,1048574,464448447,524287,882,1,1572861,524287,3,1,466023285
64,64,1024,91,1,91,1,6,1,204521290,2097151,2235235291,4194302,2235235291,2097151,1061,1,12582906,2097151,5,1,2247819451
64,64,1024,91,1,91,1,6,1,204521290,2097151,1331363210,4194302,1331363210,2097151,630,1,12582906,2097151,5,1,1343946939
64,64,1024,91,1,91,1,6,1,204521290,2097151,1331363210,4194302,1331363210,2097151,630,1,12582906,2097151,5,1,1343946939
64,64,1024,91,1,91,1,6,1,204521290,2097151,1264254378,4194302,1264254378,2097151,598,1,12582906,2097151,5,1,1276838075
64,64,1024,91,1,91,1,6,1,204521290,2097151,1465580874,4194302,1465580874,2097151,694,1,12582906,2097151,5,1,1478164667
64,64,1024,91,1,91,1,6,1,204521290,2097151,2235235291,4194302,2235235291,2097151,1061,1,12582906,2097151,5,1,2247819451
64,64,1024,91,1,91,1,6,1,204521290,2097151,1327168908,4194302,1327168908,2097151,628,1,12582906,2097151,5,1,1339752635
64,64,1024,91,1,91,1,6,1,204521290,2097151,794492554,4194302,794492554,2097151,374,1,12582906,2097151,5,1,807076027
64,64,1024,91,1,91,1,6,1,204521290,2097151,794492554,4194302,794492554,2097151,374,1,12582906,2097151,5,1,807076027
64,64,1024,91,1,91,1,6,1,204521290,2097151,727383722,4194302,727383722,2097151,342,1,12582906,2097151,5,1,739967163
64,64,1024,91,1,91,1,6,1,204521290,2097151,928710218,4194302,928710218,2097151,438,1,12582906,2097151,5,1,941293755
64,64,1024,91,1,91,1,6,1,204521290,2097151,1327168908,4194302,1327168908,2097151,628,1,12582906,2097151,5,1,1339752635
64,64,1024,91,1,91,1,6,1,204521290,2097151,790298252,4194302,790298252,2097151,372,1,12582906,2097151,5,1,802881723
64,64,1024,91,1,91,1,6,1,204521290,2097151,526057226,4194302,526057226,2097151,246,1,12582906,2097151,5,1,538640571
64,64,1024,91,1,91,1,6,1,204521290,2097151,526057226,4194302,526057226,2097151,246,1,12582906,2097151,5,1,538640571
64,64,1024,91,1,91,1,6,1,204521290,2097151,458948394,4194302,458948394,2097151,214,1,12582906,2097151,5,1,471531707
64,64,1024,91,1,91,1,6,1,204521290,2097151,660274890,4194302,660274890,2097151,310,1,12582906,2097151,5,1,672858299
64,64,1024,91,1,91,1,6,1,204521290,2097151,790298252,4194302,790298252,2097151,372,1,12582906,2097151,5,1,802881723
